ticker,sector,trade_date,open_price,high_price,low_price,close_price,volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
MARUTI,Automobile,2026-01-15,16152.0,16152.0,16152.0,16152.0,0,0.0,16628.15,16237.36,,0.010690190986119702,17292.0,-0.0659264399722415
MARUTI,Automobile,2026-01-16,16000.0,16197.0,15770.0,15859.0,703056,-0.018140168400198164,16604.65,16245.5,,0.01136348591940988,17292.0,-0.08287069164931761
MARUTI,Automobile,2026-01-19,15859.0,16242.0,15813.0,16176.0,385141,0.019988649977930484,16592.75,16259.44,,0.01226095465329095,17292.0,-0.06453851492019431
MARUTI,Automobile,2026-01-20,16200.0,16233.0,15850.0,15879.0,289609,-0.018360534124629124,16554.25,16265.36,,0.012337367549778515,17292.0,-0.08171408743927829
MARUTI,Automobile,2026-01-21,15675.0,15973.0,15675.0,15770.0,345738,-0.006864412116632024,16513.5,16267.86,,0.012375788275630597,17292.0,-0.0880175803839926
MARUTI,Automobile,2026-01-22,15950.0,15971.0,15714.0,15765.0,352320,-0.0003170577045021883,16466.6,16269.24,,0.01218377692967005,17292.0,-0.08830673143650243
MARUTI,Automobile,2026-01-23,15819.0,15846.0,15439.0,15469.0,338669,-0.018775769108785312,16410.25,16263.64,,0.012679547869496802,17292.0,-0.10542447374508443
MARUTI,Automobile,2026-01-27,15300.0,15387.0,15013.0,15245.0,565768,-0.01448057405132841,16345.4,16254.86,,0.012917460429403978,17292.0,-0.11837844089752486
MARUTI,Automobile,2026-01-28,15161.0,15294.0,14431.0,14877.0,1584483,-0.024139061987536903,16256.9,16234.84,,0.013421740906570103,17292.0,-0.13965995836224843
MARUTI,Automobile,2026-01-29,14870.0,14870.0,14353.0,14502.0,716545,-0.02520669489816496,16147.15,16206.28,,0.013950853356104433,17292.0,-0.16134628730048578
MARUTI,Automobile,2026-01-30,14502.0,14679.0,14300.0,14599.0,946509,0.00668873258860847,16041.7,16182.9,,0.014186643128373795,17292.0,-0.15573675688179506
MARUTI,Automobile,2026-02-02,14251.0,14446.0,14058.0,14384.0,621514,-0.0147270360983629,15912.9,16154.56,,0.013325418061548959,17292.0,-0.16817025213971779
MARUTI,Automobile,2026-02-03,15200.0,15281.0,14482.0,14782.0,638870,0.027669632925472643,15794.25,16130.66,,0.014967841670717666,17292.0,-0.14515382835993523
MARUTI,Automobile,2026-02-04,14800.0,15170.0,14723.0,15071.0,451065,0.019550805033148322,15683.2,16112.92,,0.01579062819860174,17292.0,-0.12844089752486698
MARUTI,Automobile,2026-02-05,15090.0,15150.0,14900.0,15059.0,374759,-0.0007962311724504234,15595.7,16096.32,,0.015020149170380357,17292.0,-0.1291348600508906
MARUTI,Automobile,2026-02-06,15084.0,15118.0,14871.0,14997.0,276529,-0.0041171392522744155,15512.35,16073.14,,0.015002606836523144,17292.0,-0.13272033310201248
MARUTI,Automobile,2026-02-09,15125.0,15126.0,14905.0,14978.0,200034,-0.0012669200506768563,15436.2,16054.64,,0.01498504168950228,17292.0,-0.13381910710154984
MARUTI,Automobile,2026-02-10,14999.0,15349.0,14983.0,15146.0,360240,0.011216450794498511,15364.4,16039.56,,0.015262254685387576,17292.0,-0.12410363173721953
MARUTI,Automobile,2026-02-11,15180.0,15432.0,15174.0,15412.0,360742,0.017562392710946728,15313.7,16025.86,,0.015972243686784775,17292.0,-0.1087207957436965
MARUTI,Automobile,2026-02-12,15459.0,15459.0,15265.0,15326.0,201895,-0.00558006747988582,15272.4,16007.6,,0.01566389637542747,17292.0,-0.1136941938468656
MARUTI,Automobile,2026-02-13,15309.0,15434.0,15190.0,15237.0,208645,-0.0058071251468093665,15226.65,15990.7,,0.01566884457511714,17292.0,-0.1188410825815406
MARUTI,Automobile,2026-02-16,15237.0,15299.0,14960.0,15051.0,210175,-0.012207127387280914,15186.25,15971.84,,0.015417174767286978,17292.0,-0.1295975017349063
MARUTI,Automobile,2026-02-17,15031.0,15211.0,14960.0,15179.0,166765,0.008504418311075623,15136.4,15949.78,,0.01473430520160407,17292.0,-0.12219523479065464
MARUTI,Automobile,2026-02-18,15208.0,15239.0,15074.0,15164.0,280772,-0.0009882073917912848,15100.65,15929.32,,0.014291019284656412,17292.0,-0.12306268794818413
MARUTI,Automobile,2026-02-19,15163.0,15279.0,14853.0,14903.0,152788,-0.01721181746241096,15057.3,15906.98,,0.01465137336796962,17292.0,-0.13815637288919733
MARUTI,Automobile,2026-02-20,14903.0,15077.0,14848.0,14977.0,515847,0.004965443199355768,15017.9,15886.14,,0.014744318718743012,17292.0,-0.1338769373120518
MARUTI,Automobile,2026-02-23,15050.0,15118.0,14984.0,15072.0,242968,0.006343059357681868,14998.05,15862.62,,0.014345565255114327,17292.0,-0.12838306731436502
MARUTI,Automobile,2026-02-24,15001.0,15062.0,14904.0,14926.0,300991,-0.009686836518046693,14982.1,15830.7,,0.014150741720730216,17292.0,-0.1368262780476521
MARUTI,Automobile,2026-02-25,14860.0,15133.0,14837.0,15070.0,356495,0.0096475948010184,14991.75,15803.8,,0.013224606627033848,17292.0,-0.12849872773536897
MARUTI,Automobile,2026-02-26,15145.0,15224.0,15046.0,15213.0,308213,0.009489051094890621,15027.3,15780.98,,0.011847485228666584,17292.0,-0.12022900763358779
MARUTI,Automobile,2026-02-27,15110.0,15192.0,14804.0,14857.0,478164,-0.02340103858542042,15040.2,15750.16,,0.013124273009789465,17292.0,-0.14081656257228775
